,Naive,HAR-RV,GARCH,EGARCH,LSTM,Hybrid
Naive,,0.9449138059830714,2.3899689348065456,2.0946634768246253,2.852162172939707,2.955554912507466
HAR-RV,-0.9449138059830714,,1.7409736988668452,0.21023627472165124,2.5700721881555264,2.652689745550652
GARCH,-2.3899689348065456,-1.7409736988668452,,-1.6465813974019021,2.726680002023375,3.058169069460719
EGARCH,-2.0946634768246253,-0.21023627472165124,1.6465813974019021,,2.383106745245893,2.5023051735061244
LSTM,-2.852162172939707,-2.5700721881555264,-2.726680002023375,-2.383106745245893,,3.1373527869914453
Hybrid,-2.955554912507466,-2.652689745550652,-3.058169069460719,-2.5023051735061244,-3.1373527869914453,
