,Naive,HAR-RV,GARCH,EGARCH,LSTM,Hybrid
Naive,,0.3447028825384557,0.01684979795825403,0.036200918121465975,0.004342294095619925,0.0031210713234770537
HAR-RV,0.3447028825384557,,0.08168818886894624,0.8334832690297205,0.01016773250309222,0.007985323194214189
GARCH,0.01684979795825403,0.08168818886894624,,0.09964411669069806,0.0063975048127769,0.0022269389493967395
EGARCH,0.036200918121465975,0.8334832690297205,0.09964411669069806,,0.01716721556461276,0.012338751584134666
LSTM,0.004342294095619925,0.01016773250309222,0.0063975048127769,0.01716721556461276,,0.0017048086145519115
Hybrid,0.0031210713234770537,0.007985323194214189,0.0022269389493967395,0.012338751584134666,0.0017048086145519115,
