,Naive,HAR-RV,GARCH,EGARCH,LSTM,Hybrid
Naive,,0.6459778141971828,0.1369348114889526,0.039581415918559015,0.03104885079148345,0.028880047021590638
HAR-RV,0.6459778141971828,,0.00012972266361832574,0.13673185040056612,3.3306690738754696e-15,1.509903313490213e-14
GARCH,0.1369348114889526,0.00012972266361832574,,0.6425479926855013,0.0004571027368174274,0.0004912774859082703
EGARCH,0.039581415918559015,0.13673185040056612,0.6425479926855013,,0.15800860106285208,0.15248348444561777
LSTM,0.03104885079148345,3.3306690738754696e-15,0.0004571027368174274,0.15800860106285208,,0.3313522529184203
Hybrid,0.028880047021590638,1.509903313490213e-14,0.0004912774859082703,0.15248348444561777,0.3313522529184203,
