,Naive,HAR-RV,GARCH,EGARCH,LSTM,Hybrid
Naive,,-0.4593570103744833,1.4873029661170207,2.058090821607313,2.1564460674962453,2.1851200295233215
HAR-RV,0.4593570103744833,,3.8269845309841712,1.4880722136315052,7.875087422252947,7.6865311739245215
GARCH,-1.4873029661170207,-3.8269845309841712,,-0.4641392357091694,3.5047112630213237,3.485467724301676
EGARCH,-2.058090821607313,-1.4880722136315052,0.4641392357091694,,1.4118008739996584,1.4308141575474886
LSTM,-2.1564460674962453,-7.875087422252947,-3.5047112630213237,-1.4118008739996584,,0.9713937233836897
Hybrid,-2.1851200295233215,-7.6865311739245215,-3.485467724301676,-1.4308141575474886,-0.9713937233836897,
