train_loss,val_loss,lr
1.6855166308818015,1.162444733973569,0.001
-0.34318840881589513,-1.735240748093563,0.001
-3.180223058211357,-4.681817117727028,0.001
-4.342252757890538,-5.820790446779263,0.001
-4.3946758102156815,-5.237477761394572,0.001
-4.632353395595788,-5.347891216757913,0.001
-4.625784632566454,-5.416222470361482,0.001
-4.793061018219141,-5.710883830328408,0.001
-4.924299119643359,-6.169165545289621,0.001
-4.966252214741409,-6.214175206310344,0.001
-5.0069351251255885,-6.204318847296373,0.001
-5.013138401863325,-6.174256102843854,0.001
-4.984956425273796,-6.200796460205654,0.001
-4.98807238616357,-6.235055953451672,0.001
-4.9898228031528555,-6.196367113845153,0.001
-4.992968730120333,-6.187332588171809,0.001
-4.990423049981724,-6.131791600641215,0.001
-5.010206094278268,-6.214118804571764,0.001
-5.019650325995014,-6.193390900234006,0.001
-5.0353673134253185,-6.192675908406575,0.0005
-5.012227957576198,-6.187370807119885,0.0005
-5.018522701391683,-6.205157912752163,0.0005
-5.030478111032565,-6.159797962356663,0.0005
-5.014397883621347,-6.192913313331844,0.0005
-5.0110090669820675,-6.195209662119548,0.0005
-5.033603243594211,-6.16426638537233,0.00025
-5.043298022318757,-6.209531913013579,0.00025
-5.037910765117458,-6.218745144658119,0.00025
-5.038732186976129,-6.222876758695398,0.00025
-5.04965065902065,-6.220303739391783,0.00025
-5.04647560192918,-6.221906251127615,0.00025
-5.05379855415205,-6.22028450396076,0.000125
-5.051509687238651,-6.220418522192997,0.000125
-5.0074959295970904,-6.221436632504253,0.000125
