train_loss,val_loss,lr
0.5887796780332479,0.26897075397413484,0.001
0.1661836733893061,0.09358914412042629,0.001
0.07105557296664869,0.048543826776480524,0.001
0.03728476333844329,0.02443595585536282,0.001
0.017970447008937282,0.011092981411460435,0.001
0.008274264813478639,0.0052459076480389395,0.001
0.004222662095069943,0.0029029669840497977,0.001
0.002652273710198006,0.001936708043223985,0.001
0.001826994168378885,0.0013831336645749193,0.001
0.0013880243531171515,0.0010406286624090383,0.001
0.0011298034423344932,0.0008388391209754554,0.001
0.000952975247095551,0.0006875219240890078,0.001
0.000828573536387252,0.0005754415973077921,0.001
0.0007361375682474643,0.0004996416120901235,0.001
0.0006687566284050021,0.0004381475259576274,0.001
0.0006316542882021824,0.00038496529977803803,0.001
0.0005994197355823074,0.0003434285263782777,0.001
0.00057036385370023,0.0003136947111127043,0.001
0.0005609185735030344,0.00028872491906063177,0.001
0.0005352107819344662,0.00027090914213573033,0.001
0.0005316578434016663,0.0002565685717854649,0.001
0.0005162487846645317,0.00024173679513016236,0.001
0.0005145554574932026,0.00023030478572443644,0.001
0.0005121984394709154,0.00021872956524661644,0.001
0.0005181491335046072,0.00020963876222995396,0.001
0.0005270246539399561,0.00020174393984972376,0.001
0.0005102027792205782,0.0001958328955982513,0.001
0.0004963928053140332,0.00019111081118748153,0.001
0.000496689936663467,0.00018828850923729884,0.001
0.0005017392154815218,0.00018391838870538435,0.001
0.0005130990219563488,0.00018275803225568888,0.001
0.0005029107714170281,0.00018116338240750041,0.001
0.0004887648936942368,0.00018125682016366027,0.001
0.0005003465592837021,0.00017850097223425155,0.001
0.0005092400937599705,0.0001766264485122062,0.001
0.000500577871076446,0.00017497786825944512,0.001
0.0004916050329117336,0.00017440292144812198,0.001
0.0005071970568769669,0.00017797279646825163,0.001
0.000494246323562543,0.00017263025509225754,0.001
0.0004980033814048665,0.00017045076505234173,0.001
0.0004989514228300523,0.00017074503919033555,0.001
0.00048477723497824025,0.00017377082404897273,0.001
0.0004793347589514826,0.00017173172448067662,0.001
0.0005092558465646642,0.00017127118336253525,0.001
0.00047243776934500516,0.00017423967906982644,0.001
0.0004827035497348419,0.00017474845987847134,0.0005
0.000486308108258359,0.00016940248571482703,0.0005
0.0004776692832931948,0.0001665949398642933,0.0005
0.00048790238371591274,0.00016899985618561318,0.0005
0.0004973935705926547,0.0001712397679740727,0.0005
0.0004815549631797647,0.00016922608346300517,0.0005
0.0004871047118158231,0.00016711843375749182,0.0005
0.00047798720615630565,0.00016832102581407617,0.0005
0.00047699331388284077,0.00016971234321512234,0.00025
0.00046988185697550977,0.00016961634249145272,0.00025
0.00047256770173260385,0.00017112903238373733,0.00025
0.00048448199311322304,0.00016957315185792604,0.00025
0.0004876689900067974,0.00016469684130740616,0.00025
0.00048308076158778317,0.00016513672309895428,0.00025
0.000471511936924236,0.0001659965804857114,0.00025
0.00045997029114255145,0.0001635839092748755,0.00025
0.00047380783985208764,0.00016193785455733914,0.00025
0.00045882780149048523,0.00016225412908616422,0.00025
0.0004848529765367647,0.00016164983701072165,0.00025
0.00048227574148771823,0.00016448665243711135,0.00025
0.00046557586038025324,0.0001657407552533953,0.00025
0.0004876970558146133,0.00016386072578219077,0.00025
0.00045936890923018646,0.00016529714039222295,0.00025
0.0004712278586427621,0.00016523108073750382,0.00025
0.00047769783791116603,0.00016475938791013763,0.000125
0.0004788053902040534,0.0001627473997496912,0.000125
0.0004648715667502631,0.00016166004165567738,0.000125
0.0004750335634678001,0.00016284697292278866,0.000125
0.0004724935129934369,0.00016184788839393677,0.000125
0.00047648351653879393,0.00016328537764918037,0.000125
0.00047509618898393814,0.00015966469145953983,0.000125
0.00046244172851186456,0.00015688017781299637,0.000125
0.00046986516694919414,0.00015608288560783103,0.000125
0.00046721736215659765,0.00015643511791918545,0.000125
0.0004525034781567767,0.00015721391885008357,0.000125
