model,RMSE,MAE,MAPE,QLIKE,n_obs
Naive RV,0.0016522057347641943,0.0006177444689184922,79.57637841110687,-5.9221692183019545,550
HAR-RV,0.0015712404057800482,0.001127828776830736,338.9547118331885,-5.856596089315837,528
"GARCH(1,1)",0.001389586224954205,0.0007238102359191984,180.3639503159127,-6.0159066290740935,550
"EGARCH(1,1)",0.0013650462508800608,0.000695321352993665,151.38475993761415,-5.999306767574484,550
