model,RMSE,MAE,MAPE,QLIKE,n_obs
Naive RV,0.0011391864557606468,0.0004646158320841699,96.3063588837339,-6.084061065455564,550
HAR-RV,0.0010425602086848768,0.0007191334686880782,318.4843472442278,-6.216089760453115,528
"GARCH(1,1)",0.0009420375339852428,0.0005029208458464489,183.63924690401296,-6.310861809776678,550
"EGARCH(1,1)",0.0010269205736468576,0.0006197839302841,203.4057871945835,-6.241477189171316,550
