train_loss,val_loss,lr
0.37673928907121407,0.09098091571585937,0.001
0.04759654390923571,0.021367387986689242,0.001
0.013251269855746761,0.006194097754317072,0.001
0.00431209525601593,0.002369796381326123,0.001
0.002066470525387628,0.0012608380364429838,0.001
0.001367201235979137,0.0008392666027963209,0.001
0.0011047151673980607,0.0006311637145882976,0.001
0.0009495072895669943,0.0005124283045875904,0.001
0.0008930907750011965,0.0004364371101325085,0.001
0.0008540083506888478,0.00038175085583649015,0.001
0.0008204194046015691,0.00034386433335899746,0.001
0.0008111868413097218,0.00031417144851249486,0.001
0.0008051608716863262,0.0002953796894597065,0.001
0.0007903524841661462,0.0002806905000660943,0.001
0.0008074280130542728,0.00026680988207629315,0.001
0.0007928946980531976,0.0002640260333332977,0.001
0.0007941697555970791,0.00026615084249250967,0.001
0.0007882631880586374,0.00026345742722159055,0.001
0.0007883959696581185,0.0002566327287086268,0.001
0.0007782615178848879,0.0002642063674393971,0.001
0.0007902333792701621,0.0002651834599058724,0.001
0.0007768682267147364,0.0002635180883903244,0.001
0.0007715493392373286,0.00025823097617464993,0.001
0.0007830873412669678,0.0002566426373731181,0.001
0.0007677016557853197,0.00026695806761535833,0.0005
0.0007762086802939674,0.00025327807678928913,0.0005
0.000786987516370814,0.0002688762159657858,0.0005
0.0007792186621271474,0.0002682806159598085,0.0005
0.0007603620700406199,0.0002565460505458942,0.0005
0.0007640022176002957,0.000268827505854878,0.0005
0.0007672402183836152,0.00026227166889375956,0.0005
0.0007595110499665971,0.0002632904916770358,0.00025
0.0007630481811774417,0.00025691438734285393,0.00025
0.0007579759596225221,0.00026434735920713665,0.00025
0.0007724405904783617,0.0002543845140000325,0.00025
0.0007673949819580651,0.00026137737957057807,0.00025
0.0007692267430506066,0.00026296537168874585,0.00025
0.0007514594082564462,0.00026719105329639834,0.000125
0.0007331601562006193,0.0002798022374323329,0.000125
0.0007572614578729251,0.0002721131278814033,0.000125
0.0007576513715349156,0.0002696552782820292,0.000125
