date,rv,n_obs,open,high,low,close,volume,rv_annualised,rv_1,rv_5,rv_22,rv_roll_7_mean,rv_roll_7_std,rv_roll_30_mean,rv_roll_30_std,log_rv,rsi_14,macd,macd_signal,macd_diff,bb_width,atr_14,daily_return,abs_return,return_5d,return_22d,range_hl,volume_log,volume_ratio
2020-02-03,0.0013278565291294352,288,188.48,195.19,186.62,189.69,417175.95781,0.48466763313224387,0.0011166941387870835,0.0010814298693133857,0.0016481227201280452,0.0010440937483185398,0.00020196562427219548,0.001509846531777193,0.001227677852096099,-6.624189193748889,72.81016306014688,10.193258619045878,8.92700737398508,1.266251245060797,0.18044113732057968,8.995662521832019,0.006611506906791144,0.006611506906791144,0.08794635307201036,0.25809273200681354,0.045178976224366035,12.941265770022609,0.956718725111497
2020-02-04,0.0008584280517611143,288,189.74,191.6,184.69,188.91,366389.69686,0.31332623889280675,0.0013278565291294352,0.0011724201219970181,0.001673297288076223,0.001106094011740422,0.00021439138328258693,0.0015311839682635622,0.001218424451520519,-7.060407571564494,71.69042463952573,10.332151154505112,9.208036130089088,1.1241150244160245,0.19417444386136354,8.846686627415446,-0.0041204495698705275,0.0041204495698705275,0.022591967280940966,0.27437834002042377,0.03657826478217139,12.811455520793825,0.8759356690549004
2020-02-05,0.001335666408928155,288,188.91,207.61,188.19,203.78,550942.11417,0.4875182392587765,0.0008584280517611143,0.0010625904179362967,0.0016907330554700132,0.001084776275351068,0.00023246810135027282,0.0015387166253384118,0.0012133646400638233,-6.61832485409346,78.48386641503839,11.509435606451746,9.66831602536162,1.8411195810901262,0.21694910857868013,9.601923296885772,0.0757702693773784,0.0757702693773784,0.12413968675475145,0.20722422186877276,0.09529885170281684,13.219386841734545,1.3023947861489578
2020-02-06,0.0027292645512105415,288,203.78,216.33,201.02,213.19,608240.2233,0.9961815611918476,0.001335666408928155,0.0010967619709624627,0.0014648248790681032,0.001150885010096337,0.00022792999276298362,0.0015466822865603587,0.0012111451243272365,-5.90372306459973,81.50801648289229,13.051303076137003,10.344913435516697,2.7063896406203067,0.2569003401323392,10.009643061393932,0.04514280633031147,0.04514280633031147,0.14942430869006082,0.2477892584893423,0.07181387494723018,13.318326831112975,1.4653730802343552
2020-02-07,0.0015113768506666099,288,213.16,225.0,213.14,223.33,629361.15466,0.5516525504933126,0.0027292645512105415,0.001473581935963266,0.0014280821640566739,0.00133969757854574,0.0006438882674031385,0.001609603680069494,0.0012222353977414517,-6.494734155813771,84.10121650522274,14.919474990264888,11.259825746466335,3.659649243798553,0.3027498009568455,10.141811414151508,0.04646671135593256,0.04646671135593256,0.16987084440054306,0.3075044017286371,0.053105270227913906,13.352462132570418,1.527189244760226
2020-02-08,0.0014832223629823807,288,223.36,227.75,213.22,223.05,548551.87465,0.5413761624885689,0.0015113768506666099,0.0015525184783391714,0.0013830507630600284,0.0013892073223842093,0.000641519256041255,0.0016060934167003295,0.001222365574969498,-6.513538218322396,83.75195379003893,16.190783755005953,12.24601734817426,3.944766406831693,0.3411047040353705,10.45525345599783,-0.001254536658109426,0.001254536658109426,0.16200480083564248,0.2724802669676807,0.0651423447657476,13.215038952684006,1.3435093774681988
2020-02-09,0.0007150418155269783,288,223.01,230.65,222.86,228.49,364276.48043,0.2609902626673471,0.0014832223629823807,0.0015835916451097602,0.0013196344235448067,0.0014803584133521886,0.0005949759892831394,0.0016247179228745772,0.0012158614716807157,-7.243169393873879,85.05089829328733,17.43627314327881,13.28406850719517,4.15220463608364,0.3688626630846107,10.264878209140843,0.024096484126179114,0.024096484126179114,0.1902217345316921,0.2716328722999833,0.03409339577224382,12.805671165082673,0.8915082966599444
2020-02-10,0.001313207998349886,288,228.53,229.4,216.37,222.89,510415.49949,0.47932091939770843,0.0007150418155269783,0.001554914397862933,0.0012261149414264062,0.0014229795100293165,0.00065248116031892,0.0016003282063388605,0.0012268440136559175,-6.635282205473514,78.12679892275337,17.766656303398207,14.18058606643578,3.5860702369624278,0.39800423946474456,10.462386908487925,-0.024814069482351556,0.024814069482351556,0.08963739567196216,0.28994284012901944,0.058459329714208814,13.142982337077214,1.2189686567654954
2020-02-11,0.0014084295019302713,288,222.89,239.15,218.17,236.69,595576.90276,0.5140767682045491,0.001313207998349886,0.0015504227157472795,0.0011342010192898827,0.0014208868627750952,0.0006528604670346413,0.0015844254803790698,0.0012273886844129263,-6.565279952777109,82.01295288150153,18.923889191772133,15.129246691503052,3.794642500269081,0.40522148013309944,11.213644986453074,0.06007289183861839,0.06007289183861839,0.1045674811802691,0.3495362018979082,0.08863914825298921,13.297287478297829,1.369475585310428
2020-02-12,0.004052072484902844,288,236.69,275.34,236.69,265.74,1038073.74782,1.479006456989538,0.0014084295019302713,0.0012862557058912253,0.0011551297973376568,0.0014994584985135462,0.0006052467120458379,0.0016055725959677615,0.001218376556865689,-5.508526779404009,87.1774987637391,21.932275196147458,16.489852392431935,5.442422803715523,0.41981282213126864,13.173384630277853,0.11576711910644197,0.11576711910644197,0.1738678889307785,0.44972445913319864,0.1454429141265898,13.852878351502559,2.217504033869148
